student_id,focus_index,burnout_level,productivity_score,exam_score
4577,22.46,36.88,17.88,8.76
1089,23.31,57.73,31.96,1.0
480,40.89,46.03,34.77,19.32
728,40.37,45.89,53.75,28.4
3784,23.33,46.85,28.03,7.99
977,22.11,87.23,15.67,4.4
3785,46.81,28.0,58.63,37.89
2978,41.4,45.73,67.79,29.84
1929,28.6,26.18,45.62,29.93
1469,15.0,45.89,26.3,13.42
1225,21.3,46.12,27.43,5.95
2857,17.34,59.38,35.08,12.54
1953,38.61,39.71,40.96,23.71
4831,19.01,31.77,42.59,25.08
4501,23.14,71.93,18.07,2.55
1893,23.81,42.92,25.45,12.63
1300,27.52,41.06,44.75,22.59
2991,30.06,76.23,7.17,1.0
4600,49.49,46.19,53.11,23.37
661,10.69,62.2,13.97,1.0
4578,28.69,42.53,26.92,15.71
4074,34.87,45.49,32.46,22.97
2785,34.26,46.55,30.92,22.33
4938,43.52,25.84,55.84,30.32
3828,38.7,22.87,65.78,37.95
2715,42.69,36.61,62.83,39.58
4658,31.12,32.81,59.55,29.19
268,33.96,29.37,43.52,17.61
4443,24.22,31.34,32.88,15.77
4960,29.32,47.63,38.4,22.3
3373,29.94,65.65,19.52,3.7
3596,19.41,13.73,38.54,23.29
4317,28.48,48.22,36.9,16.58
3723,39.18,52.38,54.92,33.08
3407,40.2,60.68,41.15,21.6
1279,45.63,20.96,68.11,40.54
4641,19.7,30.52,31.32,8.55
3918,36.05,45.09,43.07,30.47
2679,20.33,62.24,34.15,5.64
1622,15.63,43.4,13.7,1.0
4104,37.21,65.04,57.36,31.53
2858,43.86,47.27,69.15,40.7
1897,39.14,35.04,45.68,31.08
3925,36.29,60.38,36.44,19.38
3015,35.45,57.94,42.73,20.39
4439,36.21,40.14,62.47,40.63
68,29.04,27.5,35.08,23.12
2043,29.59,77.59,34.56,10.06
2581,55.49,25.17,67.8,33.16
3783,37.19,51.41,55.55,22.52
3791,30.2,55.85,24.05,12.17
821,9.8,61.59,1.0,1.0
1227,26.51,53.79,31.1,12.93
2992,33.46,18.82,60.46,32.18
3133,39.73,44.16,60.07,38.35
2744,28.72,49.54,54.48,19.2
4458,39.99,78.14,52.82,27.6
4270,23.89,12.43,45.9,35.0
3350,36.27,70.18,48.71,24.99
1144,27.62,55.91,30.37,9.62
398,32.08,45.12,35.89,27.59
2907,32.43,27.54,33.16,20.81
4302,36.39,23.08,37.55,25.26
2760,33.59,37.4,57.82,23.82
1399,27.11,63.88,40.24,17.03
1660,15.04,45.51,6.46,1.0
980,8.47,67.97,1.0,1.0
1299,31.28,5.32,37.38,16.16
3556,41.8,35.14,66.35,38.06
83,22.99,23.83,12.52,5.59
4508,17.83,58.94,9.09,2.09
2459,25.82,33.31,37.97,19.33
3740,26.42,36.47,43.04,22.36
3782,41.14,32.91,51.83,41.87
2289,35.97,32.22,31.89,17.15
424,30.25,31.42,34.63,17.42
4340,31.3,56.29,13.0,16.8
1905,29.28,43.57,34.47,19.16
4539,14.52,66.55,11.51,1.0
3353,27.69,30.34,34.42,26.97
3103,23.85,35.37,37.95,26.48
1566,30.75,80.34,35.83,7.67
3356,29.32,57.23,13.68,3.3
840,22.9,43.96,14.65,10.52
501,28.62,41.58,39.22,17.67
142,30.41,18.57,39.86,22.45
1378,26.12,58.45,38.48,11.53
3698,47.19,48.87,66.52,38.21
2145,45.82,64.39,28.75,10.24
1139,29.04,54.89,52.55,24.44
2928,44.62,51.9,58.61,33.52
1788,16.24,36.24,28.46,17.86
3485,8.22,48.52,26.0,2.61
551,25.51,39.01,36.65,25.61
4907,25.13,50.25,24.61,12.45
2020,17.15,54.19,29.04,7.22
949,48.1,40.3,77.81,42.35
2601,40.58,53.27,62.04,30.16
533,34.61,48.64,53.0,23.15
1830,27.56,54.48,24.8,13.32
2918,25.64,52.21,42.66,12.16
4419,29.0,48.02,46.59,15.42
3872,39.68,52.23,42.64,24.51
1603,28.64,28.05,35.35,28.91
640,37.76,39.07,43.32,31.59
4833,25.75,39.69,36.5,12.54
968,34.28,52.42,31.59,18.9
4238,38.44,55.99,26.54,8.86
2698,28.91,38.36,37.8,26.03
1684,30.99,52.17,40.97,19.06
4471,29.03,73.64,30.74,11.81
2343,16.71,65.75,22.2,3.15
156,27.75,56.91,45.63,16.48
2488,21.96,62.76,10.91,1.0
4642,29.14,51.7,24.79,5.62
1090,14.79,65.74,5.88,1.87
2656,27.08,72.38,34.2,6.66
4241,18.45,58.15,21.82,11.43
289,45.89,43.27,55.06,30.62
931,31.91,43.38,49.51,19.49
2536,36.6,40.62,65.32,34.15
4029,25.31,27.85,34.05,20.62
3372,17.69,30.27,18.75,5.91
4622,16.5,57.1,12.55,5.08
3292,31.15,32.56,44.82,18.54
943,41.88,42.13,60.48,28.12
3860,21.54,56.76,34.14,14.96
4663,45.38,31.99,65.55,41.71
1699,36.32,44.41,27.73,14.19
4709,52.02,27.57,79.81,50.78
3201,19.6,38.56,32.9,20.2
4602,26.11,76.75,24.69,1.0
4609,38.15,50.76,47.08,15.62
986,16.86,47.02,4.62,1.0
3319,30.85,25.33,34.35,19.38
2868,10.87,53.29,35.48,1.0
4057,12.21,45.11,12.28,1.0
4778,49.84,21.8,76.88,47.84
982,41.5,24.52,61.78,32.64
2493,9.57,48.36,11.24,1.0
3793,26.54,55.21,42.78,23.96
3549,39.54,41.88,51.59,28.58
2943,29.14,30.35,39.76,23.15
3528,44.77,30.67,62.27,37.62
3846,26.81,42.76,45.74,23.06
1458,35.27,61.36,33.07,1.57
1396,39.26,53.45,42.6,28.19
265,34.5,50.04,52.77,12.85
4096,40.11,29.23,60.31,41.05
930,33.44,48.99,33.54,24.65
4872,25.19,34.41,48.82,19.43
2693,39.34,30.28,68.39,44.24
247,28.71,38.54,32.03,11.76
3590,39.83,38.01,66.86,32.07
1759,33.43,50.27,39.18,26.51
4866,28.64,54.15,47.14,17.74
2811,27.1,62.89,37.21,22.81
924,19.82,47.99,13.49,1.0
2881,33.48,29.05,50.32,24.99
269,42.0,49.08,64.48,26.03
670,21.12,60.6,15.86,12.72
4476,19.56,29.44,14.8,1.0
1911,14.55,60.67,3.76,1.0
2986,24.38,47.95,23.32,7.01
1153,12.56,49.11,2.03,1.0
4818,13.93,57.59,21.07,1.0
3456,23.45,37.54,13.42,1.0
4242,33.54,39.91,25.48,14.53
4550,38.13,68.71,34.55,12.98
2173,35.7,60.23,27.33,18.12
4516,23.23,23.21,33.69,15.47
1916,43.22,48.03,69.84,30.81
613,22.33,28.5,21.24,4.52
2407,34.32,39.31,66.6,34.35
4206,23.39,65.03,20.09,7.22
1899,27.46,51.76,33.63,19.89
1650,29.79,47.62,44.89,20.54
2608,27.33,51.0,33.87,11.28
259,26.34,53.9,27.42,17.9
848,20.21,54.98,23.02,7.56
4252,50.28,12.8,73.23,49.7
1234,46.45,47.62,53.28,28.54
1128,14.69,36.42,25.25,9.25
1968,43.54,41.84,60.98,38.23
559,22.07,49.28,18.51,6.18
3906,29.78,45.87,24.38,4.92
485,35.01,44.73,45.63,26.91
1321,45.21,32.94,71.31,45.76
3405,26.73,45.15,37.87,12.25
8,31.98,45.98,45.04,19.89
3280,25.67,62.95,31.87,21.85
3190,49.49,47.4,52.37,35.09
1451,50.54,36.5,57.46,39.71
3981,24.54,32.73,38.0,18.81
1815,38.34,41.59,71.05,38.03
774,38.56,46.98,43.02,24.9
1012,40.42,35.95,42.16,27.2
2819,51.08,49.88,73.1,46.11
3276,23.66,46.61,31.66,15.81
1992,22.53,51.16,40.54,23.82
